,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
24,dlvm,5000,3,5,0.1,0,3,10,0.1,glm,1077,False,False,1.011697071378335,1.0112260970795903,1.012822857243953,1.012113980502732,1.0119114088152557,1.0128261333221935,0.7112400174722256,0.5328152194534121
25,dlvm,5000,3,100,0.1,0,3,10,0.1,glm,4126,False,False,1.060326795461242,1.05293577980871,1.0594319824945706,1.0516587420854047,1.0471147994096974,1.0514493100447455,0.8359221609085808,0.7858718214728302
26,dlvm,5000,3,5,0.3,0,3,10,0.1,glm,1024,False,False,0.9990751013405852,0.998708206671199,0.9986337803480962,1.012299873556661,1.0120224583712376,1.012689066253456,0.710741529438427,0.5368147023009295
27,dlvm,5000,3,100,0.3,0,3,10,0.1,glm,3952,False,False,1.0685709537311099,1.0602677235136024,1.061360889475008,1.0569237642275418,1.0491232097389638,1.051734907712597,0.8384708075781829,0.7808075578726387
28,dlvm,5000,3,5,0.1,0,3,400,0.1,glm,1668,False,False,1.0784154734120823,1.0750999117967788,1.075556458785674,1.0302603155338506,1.02991799189031,1.0300105142703369,0.7373599842160333,0.5592969741313625
29,dlvm,5000,3,100,0.1,0,3,400,0.1,glm,4964,False,False,1.0286152124864532,1.0274458559280402,1.030304162261927,1.0317584255110441,1.0299708053510663,1.0327355412463606,0.8939902942853123,0.8520818440603716
30,dlvm,5000,3,5,0.3,0,3,400,0.1,glm,1632,False,False,1.070958015660525,1.0687447311879064,1.0686309901650477,1.0278844324953278,1.0276913260959808,1.0277078352843434,0.7349056732192226,0.5545103242028704
31,dlvm,5000,3,100,0.3,0,3,400,0.1,glm,5110,False,False,1.0168049062764386,1.0334436030310674,1.0347528504463241,1.025792417191044,1.0386709820296953,1.0408360714338432,0.8931023215023602,0.8488080947599517
32,dlvm,5000,3,5,0.1,0,3,10,1,glm,922,False,False,1.0797083933391785,1.0759362890989193,1.0760807165238802,1.0106723074757802,1.010456367885715,1.0111677337869214,0.7224125524972559,0.5306323600217124
33,dlvm,5000,3,100,0.1,0,3,10,1,glm,3765,False,False,1.0416358967161767,1.0409143248589516,1.0436891323380884,1.0444607949774483,1.0420510214907592,1.0451527249175145,0.9033800719193599,0.857738466802268
34,dlvm,5000,3,5,0.3,0,3,10,1,glm,1104,False,False,1.0889321624129271,1.084421637845795,1.084623695545809,1.024860457591072,1.0246816847545506,1.0246447470266153,0.7403661497567489,0.5550720234126467
35,dlvm,5000,3,100,0.3,0,3,10,1,glm,3739,False,False,1.0528897138416036,1.0509883775139217,1.0530270029741402,1.048807923524603,1.0467709739784843,1.049554356279057,0.9031252096772309,0.8563881876914872
36,dlvm,5000,3,5,0.1,0,3,400,1,glm,1564,False,False,1.0510737775341563,1.0488972662687748,1.0488643267613165,1.0259303969080589,1.0257614564648374,1.0258378300987514,0.7294996381417657,0.5583822119000657
37,dlvm,5000,3,100,0.1,0,3,400,1,glm,5203,False,False,1.0499452384711039,1.0413747895904735,1.0412599273696954,1.0459069576132074,1.0415085743762074,1.0420663644461794,0.8774416028678115,0.8489781780374014
38,dlvm,5000,3,5,0.3,0,3,400,1,glm,1682,False,False,1.0624209638727322,1.0583178786312073,1.0584988913417477,1.0306965948823867,1.030257654214924,1.030246046313695,0.7346697412005775,0.5675064702517719
39,dlvm,5000,3,100,0.3,0,3,400,1,glm,5760,False,False,1.0422718557292352,1.0404738945297436,1.0391246341241371,1.0415729417858746,1.041141158415866,1.0405258847281302,0.8789360362568137,0.850300580537449
40,dlvm,5000,3,5,0.1,0,3,10,10,glm,1542,False,False,1.075812090971302,1.072464414229593,1.073434787316999,1.0236393140468278,1.0231824042712179,1.023326789646654,0.7316660757967488,0.5318891297300327
