,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps
326,lrmf,1000,3,5,0.3,6,3,400,1,glm,379,True,1.7393215196968899,1.708410387687374,1.7080635930465058,1.73932151969689,1.7845840008431848,1.7785343275697862
327,lrmf,1000,3,100,0.3,6,3,400,1,glm,840,True,0.6797341342169058,0.694555615813373,0.40264841855921674,0.6797341342169056,0.7704065141564572,0.49170946460435433
328,lrmf,1000,3,5,0.1,6,3,10,10,glm,301,True,1.9578316364732682,1.9665170970635537,1.9712471071038629,1.9578316364732684,1.6401639911438213,1.6423116640201412
329,lrmf,1000,3,100,0.1,6,3,10,10,glm,624,True,0.9128944222258686,0.7100376131249619,0.4514861331997403,0.9128944222258683,0.8413591657508388,0.6115277111499046
330,lrmf,1000,3,5,0.3,6,3,10,10,glm,303,True,1.7186431840150111,1.6879942903728151,1.669574209517486,1.7186431840150111,1.5746198769697524,1.5768002608545768
331,lrmf,1000,3,100,0.3,6,3,10,10,glm,626,True,0.9670446653451259,0.6280685084537826,0.4331564275753266,0.9670446653451259,0.7326724315134021,0.5432990253664186
332,lrmf,1000,3,5,0.1,6,3,400,10,glm,388,True,1.9412990076699062,1.398008684116809,1.3805084991084937,1.9412990076699057,1.705043047905387,1.7111156824423268
333,lrmf,1000,3,100,0.1,6,3,400,10,glm,849,True,1.4386725519231063,0.8451257652474357,0.6886670061277331,1.4386725519231063,0.842785180944845,0.6843674077918099
334,lrmf,1000,3,5,0.3,6,3,400,10,glm,388,True,1.764669192418591,1.632504863089244,1.637330868647865,1.764669192418591,1.8589292328550413,1.8620048685778579
335,lrmf,1000,3,100,0.3,6,3,400,10,glm,851,True,1.127695114706078,0.6143560997863022,0.45466586429199307,1.1276951147060783,0.702285178527313,0.5516397885019435
336,dlvm,1000,3,5,0.1,7,3,10,0.1,glm,307,True,1.642760563057356,1.600496531785332,1.5525454334638198,1.6427605630573554,1.1790593831440335,1.1790714503364663
337,dlvm,1000,3,100,0.1,7,3,10,0.1,glm,586,True,1.7904321682481967,2.1366737900858723,2.065020801297642,1.790432168248196,2.9809171050590986,2.670670149189051
338,dlvm,1000,3,5,0.3,7,3,10,0.1,glm,308,True,1.7059436473455973,1.5854259320011614,1.6262907061451415,1.7059436473455978,1.1827623431890562,1.1828638258459865
339,dlvm,1000,3,100,0.3,7,3,10,0.1,glm,589,True,1.4133814824112627,2.0537708654173326,1.8170564614056435,1.4133814824112625,2.7055095643678326,2.360377027892767
340,dlvm,1000,3,5,0.1,7,3,400,0.1,glm,397,True,1.7618298333539113,1.9025471440971842,2.107611423256401,1.761829833353911,2.0810280200992763,2.2319132229281795
341,dlvm,1000,3,100,0.1,7,3,400,0.1,glm,860,True,1.5652652526271422,2.2589889664705396,0.7599084476632408,1.5652652526271422,2.593586656114334,0.9836594204132882
342,dlvm,1000,3,5,0.3,7,3,400,0.1,glm,401,True,1.9597571898430304,1.9881171895025922,2.1187813121646215,1.9597571898430306,2.1000774351089118,2.245350800534359
343,dlvm,1000,3,100,0.3,7,3,400,0.1,glm,861,True,1.4602973187040356,2.102737263115559,0.7809736449362639,1.460297318704036,2.3977656590422165,0.960072022883956
344,dlvm,1000,3,5,0.1,7,3,10,1,glm,318,True,1.927772616235141,2.178514633608937,2.198373138916678,1.9277726162351412,2.166113328177906,2.211198678901743
