,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,m,tau_dr,tau_ols,tau_ols_ps
77,dlvm,1000,3,100,0,2,3,602,1,glm,146,False,10,1.0946042917524639,1.0571012651530065,1.059256403315147
78,dlvm,1000,3,5,0.1,3,3,602,1,glm,1,False,10,0.9992792155945764,1.0044382697051943,1.022647888235747
79,dlvm,1000,3,100,0.1,3,3,602,1,glm,153,False,10,1.076549492669638,1.1015253370066447,1.1108940208201719
80,dlvm,1000,3,5,0.3,3,3,602,1,glm,2,False,10,0.9992792155945764,1.0044382697051943,1.022647888235747
81,dlvm,1000,3,100,0.3,3,3,602,1,glm,158,False,10,1.076549492669638,1.1015253370066447,1.1108940208201719
82,dlvm,1000,3,5,0,3,3,602,1,glm,2,False,10,0.9982650217154128,1.00367131609505,1.022234070355894
83,dlvm,1000,3,100,0,3,3,602,1,glm,155,False,10,1.079635916180607,1.1012544228504713,1.1104930189397877
84,dlvm,1000,3,5,0.1,4,3,602,1,glm,1,False,10,1.018489238537875,1.020965622395597,1.0214412677759968
85,dlvm,1000,3,100,0.1,4,3,602,1,glm,144,False,10,1.046083295233765,1.083373922247963,1.0852135292055758
86,dlvm,1000,3,5,0.3,4,3,602,1,glm,1,False,10,1.018489238537875,1.020965622395597,1.0214412677759968
87,dlvm,1000,3,100,0.3,4,3,602,1,glm,141,False,10,1.046083295233765,1.083373922247963,1.0852135292055758
88,dlvm,1000,3,5,0,4,3,602,1,glm,2,False,10,1.0198958163982053,1.0224202361869428,1.022970242860016
89,dlvm,1000,3,100,0,4,3,602,1,glm,148,False,10,1.043018585203384,1.077557020444601,1.0784565935587884
90,dlvm,1000,3,5,0.1,5,3,602,1,glm,1,False,10,1.0843764574594421,1.067068792159071,1.0654145789461347
91,dlvm,1000,3,100,0.1,5,3,602,1,glm,149,False,10,1.0445094714939018,1.0766872235614922,1.0795916367928668
92,dlvm,1000,3,5,0.3,5,3,602,1,glm,1,False,10,1.0843764574594421,1.067068792159071,1.0654145789461347
93,dlvm,1000,3,100,0.3,5,3,602,1,glm,141,False,10,1.0445094714939018,1.0766872235614922,1.0795916367928668
94,dlvm,1000,3,5,0,5,3,602,1,glm,2,False,10,1.083266741488794,1.0656062566335736,1.0636145436251823
95,dlvm,1000,3,100,0,5,3,602,1,glm,144,False,10,1.04393189999,1.076063393456009,1.079047800069262
96,dlvm,1000,3,5,0.1,6,3,602,1,glm,1,False,10,1.0898828296117833,1.08114386610413,1.0806206198208892
97,dlvm,1000,3,100,0.1,6,3,602,1,glm,145,False,10,1.0916000108535635,1.0682529207297975,1.0744091362859753
98,dlvm,1000,3,5,0.3,6,3,602,1,glm,2,False,10,1.0898828296117833,1.08114386610413,1.0806206198208892
99,dlvm,1000,3,100,0.3,6,3,602,1,glm,149,False,10,1.0916000108535635,1.0682529207297975,1.0744091362859753
100,dlvm,1000,3,5,0,6,3,602,1,glm,1,False,10,1.0916454031408798,1.0828875549631989,1.082890381947313
101,dlvm,1000,3,100,0,6,3,602,1,glm,150,False,10,1.0952128984836291,1.0689333299269688,1.0753883868454568
102,dlvm,1000,3,5,0.1,7,3,602,1,glm,1,False,10,1.0671085621700134,1.0626548103382396,1.0588796711631923
103,dlvm,1000,3,100,0.1,7,3,602,1,glm,147,False,10,0.8935669985415288,1.05719310756997,1.0627352972690922
104,dlvm,1000,3,5,0.3,7,3,602,1,glm,1,False,10,1.0671085621700134,1.0626548103382396,1.0588796711631923
105,dlvm,1000,3,100,0.3,7,3,602,1,glm,162,False,10,0.8935669985415288,1.05719310756997,1.0627352972690922
106,dlvm,1000,3,5,0,7,3,602,1,glm,2,False,10,1.0670302242572869,1.062449823685538,1.0587276044658287
107,dlvm,1000,3,100,0,7,3,602,1,glm,157,False,10,0.8953139724519461,1.0565449533778168,1.0619906640878782
108,dlvm,1000,3,5,0.1,8,3,602,1,glm,1,False,10,1.0236534121053382,1.0272209279353866,1.0288587815013015
109,dlvm,1000,3,100,0.1,8,3,602,1,glm,156,False,10,1.0826970526297202,1.0709884069774547,1.0809125865738043
110,dlvm,1000,3,5,0.3,8,3,602,1,glm,1,False,10,1.0236534121053382,1.0272209279353866,1.0288587815013015
111,dlvm,1000,3,100,0.3,8,3,602,1,glm,149,False,10,1.0826970526297202,1.0709884069774547,1.0809125865738043
112,dlvm,1000,3,5,0,8,3,602,1,glm,1,False,10,1.0239204203253451,1.027516228571195,1.0291242130441327
113,dlvm,1000,3,100,0,8,3,602,1,glm,146,False,10,1.077746509787814,1.0679335714745135,1.077691963234353
114,dlvm,1000,3,5,0.1,9,3,602,1,glm,2,False,10,1.0817478048816778,1.0849306330837318,1.0916507711421226
115,dlvm,1000,3,100,0.1,9,3,602,1,glm,142,False,10,1.1431100261209806,1.0920690663865324,1.0875372656878919
116,dlvm,1000,3,5,0.3,9,3,602,1,glm,1,False,10,1.0817478048816778,1.0849306330837318,1.0916507711421226
117,dlvm,1000,3,100,0.3,9,3,602,1,glm,161,False,10,1.1431100261209806,1.0920690663865324,1.0875372656878919
118,dlvm,1000,3,5,0,9,3,602,1,glm,1,False,10,1.0823219102632007,1.0857604202856588,1.0925599391973209
119,dlvm,1000,3,100,0,9,3,602,1,glm,156,False,10,1.142294424393078,1.0922482006130194,1.0876073200047922
120,lrmf,1000,3,5,0.1,0,3,602,1,glm,1,True,10,0.992707767355707,1.0077610252819795,1.008538161395188
121,lrmf,1000,3,100,0.1,0,3,602,1,glm,144,True,10,22351786.27565597,1.042850605419618,1.4670299720565145
