,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
36,dlvm,5000,3,5,0.1,0,3,10,0.1,glm,1195,False,True,1.0006528376652757,1.0001538989314893,1.001596188462521,1.0108442894314593,1.0105950490906128,1.0115415208924003,0.7112451940468995,0.5308462831155792
37,dlvm,5000,3,100,0.1,0,3,10,0.1,glm,4423,False,True,1.052831992484298,1.0466823071134954,1.0516550573799794,1.0459478960667057,1.0420426215221865,1.0451764538356465,0.8331676352933926,0.7783422765017621
38,dlvm,5000,3,5,0.3,0,3,10,0.1,glm,1180,False,True,0.999929614433701,0.999546839225117,0.9996320639520058,1.0130779890856845,1.0128046807470932,1.0134569053003777,0.7106496106968843,0.536500220070554
39,dlvm,5000,3,100,0.3,0,3,10,0.1,glm,3801,False,True,1.0797821844263853,1.077129545876116,1.0752803381987572,1.0806575781749876,1.072998135859931,1.0776906399230102,0.8391927235070626,0.7867405783910015
40,dlvm,5000,3,5,0,0,3,10,0.1,glm,1231,False,True,1.0050152645695907,1.0044915434266288,1.0044185088948505,1.011269569434075,1.0110541279177536,1.0121145616559701,0.7114439063253558,0.5394061652753958
41,dlvm,5000,3,100,0,0,3,10,0.1,glm,3980,False,True,1.0580641164977687,1.052648137870622,1.055259899601259,1.0527644218813565,1.0470551791265494,1.0500799473385254,0.8352247639146293,0.7802913573804665
42,dlvm,5000,3,5,0.1,0,3,400,0.1,glm,1509,False,True,1.0749134751861886,1.0728554138241395,1.0728586632853325,1.0275150551208823,1.027478303939065,1.0274173139525626,0.7371482380429633,0.5578946216499153
43,dlvm,5000,3,100,0.1,0,3,400,0.1,glm,5195,False,True,1.0307278048333979,1.041680476083389,1.0400615138329263,1.0322174402597175,1.04229302905559,1.0428956940003358,0.8937297784276679,0.8504563208088188
44,dlvm,5000,3,5,0.3,0,3,400,0.1,glm,1526,False,True,1.0716182321210508,1.0696343244245115,1.069831099792852,1.0288658077909307,1.0286587900083486,1.0286722921319449,0.7349734227177689,0.5544046844182268
45,dlvm,5000,3,100,0.3,0,3,400,0.1,glm,5440,False,True,1.0343179506676354,1.0371069271116093,1.0366664087494186,1.036109835010713,1.0399017003060995,1.041535767462841,0.8943157206470075,0.8496106370454087
